"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0001",22,"Male","control",5,0.25,318407,"i check the interest rate","Question not asked","Question not asked"
"2","id0002",37,"Male","training_receiver_self",5,0.25,453679,"If it wasn't at least 50/50 or in my favor, I rejected.","Question not asked","Question not asked"
"3","id0003",29,"female","training_receiver_self",0,0,664157,"none","Question not asked","Question not asked"
"4","id0004",19,"Male","training_receiver_self",6,0.3,577062,"I chose the ones that were fair to us and the ones that let me have more money.","Question not asked","Question not asked"
"5","id0005",23,"Female","control",6,0.3,278102,"Equal or nothing.","Question not asked","Question not asked"
"6","id0006",39,"Female","training_receiver_self",0,0,371735,"Accepting the most balanced offers. ","Question not asked","Question not asked"
"7","id0007",37,"female","training_receiver_self",4,0.2,487657,"I tried to choose options that were fair to both parties. ","Question not asked","Question not asked"
"8","id0008",30,"male","control",6,0.3,297324,"More lenience towards prolific participants","Question not asked","Question not asked"
"9","id0009",26,"male","control",6,0.3,377633,"I accepted anything that I would be getting more than $2 ","Question not asked","Question not asked"
"10","id0010",28,"Male","control",0,0,301729,"Reject if less than $3","Question not asked","Question not asked"
"11","id0011",49,"Male","control",0,0,538281,"I accepted the proposal with reasonable offer","Question not asked","Question not asked"
"12","id0012",40,"male","control",0,0,950427,"yes, not accepting anything under $3","Question not asked","Question not asked"
"13","id0013",39,"Female","control",4,0.2,419055,"Yes. To just accept them all to at least get something. ","Question not asked","Question not asked"
"14","id0014",39,"female","control",0,0,386751,"none","Question not asked","Question not asked"
"15","id0015",50,"Male","training_receiver_self",0,0,419555,"I would accept offers that were split 50/50 or 60/40 either way.","Question not asked","Question not asked"
"16","id0016",36,"female","training_receiver_self",0,0,400407,"I wanted at least 4 ","Question not asked","Question not asked"
"17","id0017",57,"male","training_receiver_self",0,0,528951,"no i really did not ","Question not asked","Question not asked"
"18","id0018",31,"male","control",3,0.15,347380,"I accepted all offers because receiving anything is better than nothing at all","Question not asked","Question not asked"
"19","id0019",51,"female","training_receiver_self",5,0.25,733262,"rational","Question not asked","Question not asked"
"20","id0020",47,"male","control",0,0,531350,"If I received anything lower than 2 dollars, I rejected the offer.","Question not asked","Question not asked"
"21","id0021",44,"Female","control",6,0.3,476014,"No","Question not asked","Question not asked"
"22","id0022",37,"female","control",4,0.2,322864,"not really","Question not asked","Question not asked"
"23","id0023",32,"female","control",5,0.25,287668,"none","Question not asked","Question not asked"
"24","id0024",34,"female","control",0,0,288861,"accept if i get4 or more","Question not asked","Question not asked"
"25","id0025",32,"female","control",5,0.25,320175,"not really","Question not asked","Question not asked"
"26","id0026",42,"female","control",0,0,325510,"The fairness","Question not asked","Question not asked"
"27","id0027",46,"Female","control",4,0.2,502393,"I figured any money was good money.","Question not asked","Question not asked"
"28","id0028",46,"Male","control",5,0.25,353289," None","Question not asked","Question not asked"
"29","id0029",44,"Male","control",0,0,371851,"I chose to accept the offers that were more fair and equal, rather than offers where I only got 1-3 dollars. I'd rather us both have $0 then them have far more than me. ","Question not asked","Question not asked"
"30","id0030",57,"female","control",6,0.3,375110,"I accepted anything that was 5 or higher for me.  Unfortunately, I read it backwards in the beginning. ugh.","Question not asked","Question not asked"
"31","id0031",67,"male","training_receiver_self",2,0.1,884284,"no","Question not asked","Question not asked"
"32","id0032",31,"Male","control",4,0.2,376036,"Mostly to accept pretty much everything, since there was no penalty or reason for rejecting. I still rejected a few $1 ones though.","Question not asked","Question not asked"
"33","id0033",20,"Male","training_receiver_self",6,0.3,825186,"Should be more than $5 that i would be receiving","Question not asked","Question not asked"
"34","id0034",27,"Female","control",5,0.25,457762,"to get the same amount or more ","Question not asked","Question not asked"
"35","id0035",24,"Female","training_receiver_self",6,0.3,481252,"I chose to accept offers that were close to half or favored me. I feel I was more likely to reject an offer that was close to half but favored the opponent if the opponent was AI. I was more likely to accept an offer that was close to half but favored the opponent only if the opponent was a human.","Question not asked","Question not asked"
"36","id0036",34,"Male","control",0,0,422268,"It was striclty consideration of monetary wants only.","Question not asked","Question not asked"
"37","id0037",30,"Male","training_receiver_self",4,0.2,366198,"Accept every offer was the strategy.","Question not asked","Question not asked"
"38","id0038",52,"female","training_receiver_self",0,0,433582,"with human only if it is 50/50 accept, with AI reject bc what is the need for money?","Question not asked","Question not asked"
"39","id0039",49,"female","training_receiver_self",6,0.3,460905,"I always accepted the offer that gave me more money or over $3.","Question not asked","Question not asked"
"40","id0040",18,"male","control",0,0,347368,"I had no strategies, except to not let the ai take more ","Question not asked","Question not asked"
"41","id0041",33,"female","control",0,0,678495,"66be11495bd8b02268126ba7","Question not asked","Question not asked"
"42","id0042",30,"male","control",4,0.2,386845,"i sometimes accept the offer i consider most fair to meor both of us and rejected the most lower offers","Question not asked","Question not asked"
"43","id0043",42,"MALE","training_receiver_self",0,0,676895,"I consider the difference in choosing the offer","Question not asked","Question not asked"
"44","id0043",45,"male","training_receiver_self",0,0,622745,"yes based on the surveyinstructions","Question not asked","Question not asked"
"45","id0044",34,"female","control",0,0,357801,"prefer not to say","Question not asked","Question not asked"
"46","id0045",22,"male","training_receiver_self",6,0.3,498158,"no ","Question not asked","Question not asked"
"47","id0046",29,"Female","training_receiver_self",4,0.2,731053,"Accept anything over $3","Question not asked","Question not asked"
"48","id0047",59,"Male","control",5,0.25,754565,"If the other opponent whether an AI or the other participant offer an amount which is very low I reject the offer but if it is a meaningful amount, I accept it.","Question not asked","Question not asked"
"49","id0048",53,"Male","control",5,0.25,520897,"I had wanted a fair play and that everything should be shared a bit equal","Question not asked","Question not asked"
